Date,Currency,Expiry,UnderlyingTenor,Moneyness,Strike,NormalVol,LogNormalVol,OptionPrice,Annuity
01/10/2019,USD,1M,10Y,0,0.027808613200416,0.00569539204166485,0.204838153719902,0.005932021652224,8.81739873735705
01/10/2019,USD,1Y,10Y,0,0.028064581793403,0.00652840983333323,0.233147943019867,0.0224476429648818,8.61892834412719
01/10/2019,USD,2Y,10Y,0,0.028496739342919,0.00685162803999978,0.24160889685154,0.0325371304684505,8.40555311095214
01/10/2019,USD,3M,10Y,0,0.027827470542892,0.00590262651666648,0.212213242053986,0.0102691049280514,8.78218130300754
01/10/2019,USD,6M,10Y,0,0.027916702036214,0.00618710050333301,0.221852606534958,0.0151704681100921,8.72788248389091
01/10/2019,USD,1M,15Y,0,0.028696262152176,0.00553491866999893,0.192905649542809,0.00812860822141216,12.4327249448803
01/10/2019,USD,1Y,15Y,0,0.028846934434449,0.00630554635833313,0.219023355841637,0.0305593533722045,12.1481842911163
01/10/2019,USD,2Y,15Y,0,0.029101143168863,0.00658678277999989,0.227318781614304,0.0440548088158455,11.8386124944017
01/10/2019,USD,3M,15Y,0,0.028706610117877,0.00573855208999877,0.199985653162003,0.0140753866040386,12.381495832898
01/10/2019,USD,6M,15Y,0,0.028762783813309,0.00599642015999964,0.208666011691093,0.0207248226948348,12.3025700664755
01/10/2019,USD,1M,1Y,0,0.027755040427228,0.00372797482333281,0.13432589173317,0.000431346863298841,0.979523930928173
01/10/2019,USD,1Y,1Y,0,0.026548971739561,0.00603167896166636,0.227681505680084,0.00230591488762331,0.958285660252101
01/10/2019,USD,2Y,1Y,0,0.025576264394802,0.00757391461333297,0.298334628343582,0.00400863876610077,0.936822565738817
01/10/2019,USD,3M,1Y,0,0.027490248017991,0.00397331095666582,0.144566324353218,0.00077211429070823,0.980943847254074
01/10/2019,USD,6M,1Y,0,0.027323650313731,0.00474563891166638,0.173790860176086,0.00129638098288987,0.972377811504173
01/10/2019,USD,1M,20Y,0,0.028945203714338,0.00544516458333209,0.188144078850746,0.0100304487922305,15.5944740216741
01/10/2019,USD,1Y,20Y,0,0.029028730353377,0.0061716529916663,0.213006997108459,0.0375091941967129,15.2344285816239
01/10/2019,USD,2Y,20Y,0,0.02919976581971,0.00640185241666662,0.220131400227547,0.0536898723834943,14.8445671814406
01/10/2019,USD,3M,20Y,0,0.028947311414365,0.00561822020166584,0.194159525632858,0.0172824363570409,15.5282073255269
01/10/2019,USD,6M,20Y,0,0.028982243582136,0.0058722902816658,0.202789005637169,0.0254530134007629,15.4286799234002
01/10/2019,USD,1M,2Y,0,0.02709167177154,0.00534065274333166,0.197160631418228,0.00122628741824149,1.94383460427504
01/10/2019,USD,1Y,2Y,0,0.026067397388699,0.00679153394666616,0.261278772354126,0.00513450609959915,1.8950502591301
01/10/2019,USD,2Y,2Y,0,0.025723382776847,0.00782798419499964,0.306707900762558,0.00819314139536373,1.85259861751678
01/10/2019,USD,3M,2Y,0,0.026825838848318,0.00565663586333269,0.210961621999741,0.00216111293601488,1.92856531602611
01/10/2019,USD,6M,2Y,0,0.026642565881911,0.00602481454499923,0.226374387741089,0.00324510149551914,1.91726295276784
01/10/2019,USD,1M,30Y,0,0.028977682894845,0.00531637012166567,0.183486858010292,0.0130766236296223,20.8229277748802
01/10/2019,USD,1Y,30Y,0,0.029015033496653,0.00599217688666638,0.206888112425804,0.0486151638228069,20.3365398783914
01/10/2019,USD,2Y,30Y,0,0.029109401980912,0.00622497960666623,0.214671540260315,0.0697180544693002,19.82385681509
01/10/2019,USD,3M,30Y,0,0.02897581570452,0.00547565429999892,0.189042645692825,0.0224898718885666,20.7331873281435
01/10/2019,USD,6M,30Y,0,0.028995470918577,0.0057180813583332,0.197364750504494,0.0330932763826318,20.6009152293832
01/10/2019,USD,1M,5Y,0,0.026519041721051,0.00609859046499958,0.230014687776566,0.00336980552798562,4.67774717560904
01/10/2019,USD,1Y,5Y,0,0.026493468861183,0.00694020087666666,0.262712478637695,0.0126759601716846,4.57824214876356
01/10/2019,USD,2Y,5Y,0,0.026857789855459,0.00741289990166631,0.277786415815353,0.0187273364856124,4.47165926990805
01/10/2019,USD,3M,5Y,0,0.026469936437282,0.00623444511499933,0.235663679242134,0.00575530976950775,4.66000099531967
01/10/2019,USD,6M,5Y,0,0.026490442773267,0.00653647877999958,0.247059801220894,0.00850716400112765,4.63274108036277
